season,date,team1,team2,points1,points2,ot,loc,locn,text,division
2009,2009x11x28,Linfield,Mary Hardin-Baylor,53,21,,99,,D3 R16,D3
2009,2009x12x05,Mount Union,Albright,55,3,,1,,D3 QF,D3
2009,2009x12x05,Wesley,Johns Hopkins,12,0,,1,,D3 QF,D3
2009,2009x12x05,UW Whitewater,Wittenberg,31,13,,1,,D3 QF,D3
2009,2009x12x05,Linfield,St. Thomas,31,20,,1,,D3 QF,D3
2009,2009x12x12,Mount Union,Wesley,24,7,,1,,D3 Semi,D3
2009,2009x12x12,UW Whitewater,Linfield,27,17,,1,,D3 Semi,D3
2009,2009x12x19,UW Whitewater,Mount Union,38,28,,3,Salem VA,D3 Champ,D3
2009,2009x11x28,Montana,South Dakota St.,61,48,,1,,FCS R16,FCS
2009,2009x11x28,S.F. Austin,Eastern Wash.,44,33,,1,,FCS R16,FCS
2009,2009x11x28,Richmond,Elon,16,13,,1,,FCS R16,FCS
2009,2009x11x28,Appalachian St.,SC State,20,13,,1,,FCS R16,FCS
2009,2009x11x28,Villanova,Holy Cross,38,28,,1,,FCS R16,FCS
2009,2009x11x28,New Hampshire,McNeese,49,13,,2,,FCS R16,FCS
2009,2009x11x28,Southern Ill.,Eastern Ill.,48,7,,1,,FCS R16,FCS
2009,2009x11x28,William & Mary,Weber St.,38,0,,1,,FCS R16,FCS
2009,2009x12x05,Montana,S.F. Austin,51,0,,1,,FCS QF,FCS
2009,2009x12x05,Appalachian St.,Richmond,35,31,,2,,FCS QF,FCS
2009,2009x12x05,Villanova,New Hampshire,46,7,,1,,FCS QF,FCS
2009,2009x12x05,William & Mary,Southern Ill.,24,3,,2,,FCS QF,FCS
2009,2009x12x12,Villanova,William & Mary,14,13,,1,,FCS Semi,FCS
2009,2009x12x12,Montana,Appalachian St.,24,17,,1,,FCS Semi,FCS
2009,2009x12x18,Villanova,Montana,23,21,,3,Chattanooga,FCS Champ,FCS
2010,2010x11x20,St. Cloud St.,Hillsdale,42,28,,1,,D2 R24,D2
2010,2010x11x20,Grand Valley St.,Colo. Mines,35,13,,1,,D2 R24,D2
2010,2010x11x20,Central Mo.,West Texas A&M,55,35,,1,,D2 R24,D2
2010,2010x11x20,NW Missouri St.,Mo. Western,28,24,,1,,D2 R24,D2
2010,2010x11x20,Wingate,Morehouse,63,41,,1,,D2 R24,D2
2010,2010x11x20,North Alabama,Valdosta St.,43,20,,2,,D2 R24,D2
2010,2010x11x20,Shepherd,Shaw,40,6,,1,,D2 R24,D2
2010,2010x11x20,Bloomsburg,California (PA),28,26,,2,,D2 R24,D2
2010,2010x11x27,Minn. Duluth,St. Cloud St.,20,17,OT,1,,D2 R16,D2
2010,2010x11x27,Augustana (SD),Grand Valley St.,38,6,,1,,D2 R16,D2
2010,2010x11x27,Central Mo.,Abilene Christian,55,41,,2,,D2 R16,D2
2010,2010x11x27,NW Missouri St.,TAMU Kingsville,35,31,,2,,D2 R16,D2
2010,2010x11x27,Albany St.,Wingate,30,28,,1,,D2 R16,D2
2010,2010x11x27,Delta St.,North Alabama,47,24,,1,,D2 R16,D2
2010,2010x11x27,Shepherd,Kutztown,41,34,,2,,D2 R16,D2
2010,2010x11x27,Mercyhurst,Bloomsburg,28,14,,1,,D2 R16,D2
2010,2010x12x04,Minn. Duluth,Augustana (SD),24,13,,1,,D2 QF,D2
2010,2010x12x04,NW Missouri St.,Central Mo.,37,20,,1,,D2 QF,D2
2010,2010x12x04,Delta St.,Albany St.,28,7,,2,,D2 QF,D2
2010,2010x12x04,Shepherd,Mercyhurst,49,14,,2,,D2 QF,D2
2010,2010x12x11,Minn. Duluth,NW Missouri St.,17,13,,1,,D2 Semi,D2
2010,2010x12x11,Delta St.,Shepherd,29,17,,1,,D2 Semi,D2
2010,2010x12x18,Minn. Duluth,Delta St.,20,17,,3,Florence AL,D2 Champ,D2
2010,2010x11x20,Wesley,Muhlenberg,53,14,,1,,D3 R32,D3
2010,2010x11x20,Montclair St.,Hampden-Sydney,16,14,,2,,D3 R32,D3
2010,2010x11x20,Thomas More,Wash. & Lee,42,14,,1,,D3 R32,D3
2010,2010x11x20,Mary Hardin-Baylor,Chris. Newport,59,7,,1,,D3 R32,D3
2010,2010x11x20,North Central,St. Norbert,57,7,,1,,D3 R32,D3
2010,2010x11x20,Ohio Northern,Wittenberg,37,14,,1,,D3 R32,D3
2010,2010x11x20,Trine,DePauw,45,35,,2,,D3 R32,D3
2010,2010x11x20,UW Whitewater,Franklin,52,21,,1,,D3 R32,D3
2010,2010x11x20,Mount Union,St. Lawrence,49,0,,1,,D3 R32,D3
2010,2010x11x20,Delaware Valley,Salisbury St.,23,12,,1,,D3 R32,D3
2010,2010x11x20,Alfred,SUNY Maritime,60,0,,2,,D3 R32,D3
2010,2010x11x20,Cortland St.,Endicott,49,35,,1,,D3 R32,D3
2010,2010x11x20,St. Thomas,Benedictine (IL),57,10,,1,,D3 R32,D3
2010,2010x11x20,Linfield,Cal Lutheran,42,26,,2,,D3 R32,D3
2010,2010x11x20,Bethel (MN),Wartburg,28,20,,2,,D3 R32,D3
2010,2010x11x20,Wheaton,Coe,31,21,,1,,D3 R32,D3
2010,2010x11x27,Wesley,Montclair St.,44,7,,1,,D3 R16,D3
2010,2010x11x27,Mary Hardin-Baylor,Thomas More,69,7,,1,,D3 R16,D3
2010,2010x11x27,North Central,Ohio Northern,28,9,,1,,D3 R16,D3
2010,2010x11x27,UW Whitewater,Trine,45,31,,1,,D3 R16,D3
2010,2010x11x27,Mount Union,Delaware Valley,31,3,,1,,D3 R16,D3
2010,2010x11x27,Alfred,Cortland St.,34,20,,2,,D3 R16,D3
2010,2010x11x27,St. Thomas,Linfield,24,17,2OT,1,,D3 R16,D3
2010,2010x11x27,Bethel (MN),Wheaton,15,10,,2,,D3 R16,D3
2010,2010x12x04,Wesley,Mary Hardin-Baylor,19,9,,1,,D3 QF,D3
2010,2010x12x04,UW Whitewater,North Central,20,10,,2,,D3 QF,D3
2010,2010x12x04,Mount Union,Alfred,37,7,,1,,D3 QF,D3
2010,2010x12x04,Bethel (MN),St. Thomas,12,7,,2,,D3 QF,D3
2010,2010x12x11,UW Whitewater,Wesley,27,7,,2,,D3 Semi,D3
2010,2010x12x11,Mount Union,Bethel (MN),34,14,,1,,D3 Semi,D3
2010,2010x12x18,UW Whitewater,Mount Union,31,21,,3,Salem VA,D3 Champ,D3
2010,2010x11x27,Western Ill.,Coastal Carolina,17,10,,2,,FCS R20,FCS
2010,2010x11x27,North Dakota St.,Robert Morris,43,17,,1,,FCS R20,FCS
2010,2010x11x27,Lehigh,Northern Iowa,14,7,,2,,FCS R20,FCS
2010,2010x11x27,Ga. Southern,SC State,41,16,,1,,FCS R20,FCS
2010,2010x12x04,Appalachian St.,Western Ill.,42,14,,1,,FCS R16,FCS
2010,2010x12x04,Villanova,S.F. Austin,54,24,,2,,FCS R16,FCS
2010,2010x12x04,Eastern Wash.,SE Missouri,37,17,,1,,FCS R16,FCS
2010,2010x12x04,North Dakota St.,Montana St.,42,17,,2,,FCS R16,FCS
2010,2010x12x04,Delaware,Lehigh,42,20,,1,,FCS R16,FCS
2010,2010x12x04,New Hampshire,Bethune Cookman,45,20,,2,,FCS R16,FCS
2010,2010x12x04,Wofford,Jacksonville St.,17,14,,2,,FCS R16,FCS
2010,2010x12x04,Ga. Southern,William & Mary,31,15,,2,,FCS R16,FCS
2010,2010x12x11,Villanova,Appalachian St.,42,24,,2,,FCS QF,FCS
2010,2010x12x11,Eastern Wash.,North Dakota St.,38,31,OT,1,,FCS QF,FCS
2010,2010x12x11,Delaware,New Hampshire,16,3,,1,,FCS QF,FCS
2010,2010x12x11,Ga. Southern,Wofford,23,20,,2,,FCS QF,FCS
2010,2010x12x18,Eastern Wash.,Villanova,41,31,,1,,FCS Semi,FCS
2010,2010x12x18,Delaware,Ga. Southern,27,10,,1,,FCS Semi,FCS
2010,2011x01x07,Eastern Wash.,Delaware,20,19,,3,Frisco,FCS Champ,FCS
2011,2011x11x19,North Alabama,West Alabama,43,27,,2,,D2 R24,D2
2011,2011x11x19,North Greenville,Albany St.,63,14,,1,,D2 R24,D2
2011,2011x11x19,NW Missouri St.,Mo. Western,35,29,,2,,D2 R24,D2
2011,2011x11x19,Washburn,Abilene Christian,52,49,,1,,D2 R24,D2
2011,2011x11x19,California (PA),Elizabeth City St.,44,0,,1,,D2 R24,D2
2011,2011x11x19,Kutztown,Concord,17,14,,1,,D2 R24,D2
2011,2011x11x19,Minn. Duluth,Saginaw Valley St.,30,27,OT,1,,D2 R24,D2
2011,2011x11x19,Wayne St. (MI),St. Cloud St.,48,38,,2,,D2 R24,D2
2011,2011x11x26,Delta St.,North Alabama,42,14,,1,,D2 R16,D2
2011,2011x11x26,North Greenville,Mars Hill,52,38,,2,,D2 R16,D2
2011,2011x11x26,NW Missouri St.,Midwestern St.,38,31,OT,2,,D2 R16,D2
2011,2011x11x26,Pittsburg St.,Washburn,31,22,,1,,D2 R16,D2
2011,2011x11x26,Winston Salem,California (PA),35,28,,1,,D2 R16,D2
2011,2011x11x26,New Haven,Kutztown,44,37,,1,,D2 R16,D2
2011,2011x11x26,Minn. Duluth,CSU Pueblo,24,21,,2,,D2 R16,D2
2011,2011x11x26,Wayne St. (MI),Neb. Kearney,38,14,,2,,D2 R16,D2
2011,2011x12x03,Delta St.,North Greenville,28,23,,1,,D2 QF,D2
2011,2011x12x03,Pittsburg St.,NW Missouri St.,41,16,,1,,D2 QF,D2
2011,2011x12x03,Winston Salem,New Haven,27,7,,1,,D2 QF,D2
2011,2011x12x03,Wayne St. (MI),Minn. Duluth,31,25,,2,,D2 QF,D2
2011,2011x12x10,Pittsburg St.,Delta St.,49,23,,1,,D2 Semi,D2
2011,2011x12x10,Wayne St. (MI),Winston Salem,21,14,,2,,D2 Semi,D2
2011,2011x12x17,Pittsburg St.,Wayne St. (MI),35,21,,3,Florence AL,D2 Champ,D2
2011,2011x11x19,UW Whitewater,Albion,59,0,,1,,D3 R32,D3
2011,2011x11x19,Franklin,Thomas More,24,21,,1,,D3 R32,D3
2011,2011x11x19,Kean,Chris. Newport,34,10,,1,,D3 R32,D3
2011,2011x11x19,Salisbury St.,Western New Eng.,62,24,,1,,D3 R32,D3
2011,2011x11x19,St. Thomas,St. Scholastica,48,2,,1,,D3 R32,D3
2011,2011x11x19,Monmouth (IL),Ill. Wesleyan,33,27,,2,,D3 R32,D3
2011,2011x11x19,St. John Fisher,Johns Hopkins,23,12,,2,,D3 R32,D3
2011,2011x11x19,Delaware Valley,Norwich,62,10,,1,,D3 R32,D3
2011,2011x11x19,Mary Hardin-Baylor,Redlands,34,13,,1,,D3 R32,D3
2011,2011x11x19,McMurry,Trinity (TX),25,16,,2,,D3 R32,D3
2011,2011x11x19,Linfield,Cal Lutheran,30,27,,1,,D3 R32,D3
2011,2011x11x19,Wesley,Hobart,35,28,,1,,D3 R32,D3
2011,2011x11x19,Wabash,Illinois Col.,38,20,,1,,D3 R32,D3
2011,2011x11x19,North Central,Dubuque,59,13,,1,,D3 R32,D3
2011,2011x11x19,Centre,Hampden-Sydney,51,41,,1,,D3 R32,D3
2011,2011x11x19,Mount Union,Benedictine (IL),47,7,,1,,D3 R32,D3
2011,2011x11x26,UW Whitewater,Franklin,41,14,,1,,D3 R16,D3
2011,2011x11x26,Salisbury St.,Kean,49,47,,1,,D3 R16,D3
2011,2011x11x26,St. Thomas,Monmouth (IL),38,10,,1,,D3 R16,D3
2011,2011x11x26,St. John Fisher,Delaware Valley,27,14,,2,,D3 R16,D3
2011,2011x11x26,Mary Hardin-Baylor,McMurry,49,20,,1,,D3 R16,D3
2011,2011x11x26,Wesley,Linfield,49,34,,1,,D3 R16,D3
2011,2011x11x26,Wabash,North Central,29,28,,1,,D3 R16,D3
2011,2011x11x26,Mount Union,Centre,30,10,,1,,D3 R16,D3
2011,2011x12x03,UW Whitewater,Salisbury St.,34,14,,1,,D3 QF,D3
2011,2011x12x03,St. Thomas,St. John Fisher,45,10,,1,,D3 QF,D3
2011,2011x12x03,Wesley,Mary Hardin-Baylor,27,24,,2,,D3 QF,D3
2011,2011x12x03,Mount Union,Wabash,20,8,,1,,D3 QF,D3
2011,2011x12x10,UW Whitewater,St. Thomas,20,0,,1,,D3 Semi,D3
2011,2011x12x10,Mount Union,Wesley,28,21,,1,,D3 Semi,D3
2011,2011x12x16,UW Whitewater,Mount Union,13,10,,3,Salem VA,D3 Champ,D3
2011,2011x11x26,Stony Brook,Albany,31,28,,1,,FCS R20,FCS
2011,2011x11x26,Central Ark.,Tennessee Tech,34,14,,2,,FCS R20,FCS
2011,2011x11x26,Old Dominion,Norfolk St.,35,18,,1,,FCS R20,FCS
2011,2011x11x26,James Madison,Eastern Ky.,20,17,,2,,FCS R20,FCS
2011,2011x12x03,Sam Houston,Stony Brook,34,27,,1,,FCS R16,FCS
2011,2011x12x03,Montana St.,New Hampshire,26,25,,1,,FCS R16,FCS
2011,2011x12x03,Northern Iowa,Wofford,28,21,,1,,FCS R16,FCS
2011,2011x12x03,Montana,Central Ark.,41,14,,1,,FCS R16,FCS
2011,2011x12x03,Ga. Southern,Old Dominion,55,48,,1,,FCS R16,FCS
2011,2011x12x03,Maine,Appalachian St.,34,12,,2,,FCS R16,FCS
2011,2011x12x03,Lehigh,Towson,40,38,,2,,FCS R16,FCS
2011,2011x12x03,North Dakota St.,James Madison,26,14,,1,,FCS R16,FCS
2011,2011x12x10,Sam Houston,Montana St.,49,13,,1,,FCS QF,FCS
2011,2011x12x10,Montana,Northern Iowa,48,10,,1,,FCS QF,FCS
2011,2011x12x10,Ga. Southern,Maine,35,23,,1,,FCS QF,FCS
2011,2011x12x10,North Dakota St.,Lehigh,24,0,,1,,FCS QF,FCS
2011,2011x12x17,Sam Houston,Montana,31,28,,1,,FCS Semi,FCS
2011,2011x12x17,North Dakota St.,Ga. Southern,35,7,,1,,FCS Semi,FCS
2011,2012x01x07,North Dakota St.,Sam Houston,17,6,,3,Frisco,FCS Champ,FCS
2012,2012x11x17,Shippensburg,Bloomsburg,58,20,,1,,D2 R24,D2
2012,2012x11x17,Indiana (PA),Shepherd,27,17,,1,,D2 R24,D2
2012,2012x11x17,Indianapolis,Midwestern St.,31,14,,1,,D2 R24,D2
2012,2012x11x17,West Texas A&M,Chadron St.,38,30,,2,,D2 R24,D2
2012,2012x11x17,West Alabama,Miles,41,7,,1,,D2 R24,D2
2012,2012x11x17,Lenoir-Rhyne,Fort Valley St.,21,6,,1,,D2 R24,D2
2012,2012x11x17,NW Missouri St.,Harding,35,0,,1,,D2 R24,D2
2012,2012x11x17,Mo. Western,Minn. Duluth,57,55,3OT,1,,D2 R24,D2
2012,2012x11x24,Winston Salem,Shippensburg,37,14,,1,,D2 R16,D2
2012,2012x11x24,Indiana (PA),New Haven,17,14,,2,,D2 R16,D2
2012,2012x11x24,CSU Pueblo,Indianapolis,28,7,,1,,D2 R16,D2
2012,2012x11x24,West Texas A&M,Ashland,33,28,,2,,D2 R16,D2
2012,2012x11x24,Valdosta St.,West Alabama,49,21,,1,,D2 R16,D2
2012,2012x11x24,Carson-Newman,Lenoir-Rhyne,38,35,,1,,D2 R16,D2
2012,2012x11x24,Minnesota St.,NW Missouri St.,38,35,,1,,D2 R16,D2
2012,2012x11x24,Mo. Western,Henderson St.,45,21,,2,,D2 R16,D2
2012,2012x12x01,Winston Salem,Indiana (PA),21,17,,1,,D2 QF,D2
2012,2012x12x01,West Texas A&M,CSU Pueblo,34,13,,2,,D2 QF,D2
2012,2012x12x01,Valdosta St.,Carson-Newman,48,26,,1,,D2 QF,D2
2012,2012x12x01,Minnesota St.,Mo. Western,17,10,,1,,D2 QF,D2
2012,2012x12x08,Winston Salem,West Texas A&M,41,18,,1,,D2 Semi,D2
2012,2012x12x08,Valdosta St.,Minnesota St.,35,19,,2,,D2 Semi,D2
2012,2012x12x15,Valdosta St.,Winston Salem,35,7,,3,Florence AL,D2 Champ,D2
2012,2012x11x17,Linfield,Pacific Lutheran,27,24,,1,,D3 R32,D3
2012,2012x11x17,North Central,Cal Lutheran,41,21,,2,,D3 R32,D3
2012,2012x11x17,Bethel (MN),Concordia (IL),24,23,,2,,D3 R32,D3
2012,2012x11x17,UW Oshkosh,St. Scholastica,55,10,,1,,D3 R32,D3
2012,2012x11x17,Hobart,Wash. & Lee,38,20,,1,,D3 R32,D3
2012,2012x11x17,Wittenberg,Heidelberg,52,38,,2,,D3 R32,D3
2012,2012x11x17,Elmhurst,Coe,27,24,,2,,D3 R32,D3
2012,2012x11x17,St. Thomas,St. Norbert,48,17,,1,,D3 R32,D3
2012,2012x11x17,Mary Hardin-Baylor,Louisiana Col.,59,20,,1,,D3 R32,D3
2012,2012x11x17,Franklin,Adrian,42,10,,2,,D3 R32,D3
2012,2012x11x17,Cortland St.,Framingham St.,20,19,,1,,D3 R32,D3
2012,2012x11x17,Wesley,Mount Ida,73,14,,1,,D3 R32,D3
2012,2012x11x17,Widener,Bridgewater St.,44,14,,1,,D3 R32,D3
2012,2012x11x17,Salisbury St.,Rowan,17,9,,1,,D3 R32,D3
2012,2012x11x17,Johns Hopkins,Wash. & Jeff.,42,10,,1,,D3 R32,D3
2012,2012x11x17,Mount Union,Chris. Newport,72,14,,1,,D3 R32,D3
2012,2012x11x24,Linfield,North Central,30,14,,1,,D3 R16,D3
2012,2012x11x24,UW Oshkosh,Bethel (MN),37,14,,1,,D3 R16,D3
2012,2012x11x24,Hobart,Wittenberg,35,10,,1,,D3 R16,D3
2012,2012x11x24,St. Thomas,Elmhurst,24,17,,1,,D3 R16,D3
2012,2012x11x24,Mary Hardin-Baylor,Franklin,63,17,,1,,D3 R16,D3
2012,2012x11x24,Wesley,Cortland St.,56,6,,1,,D3 R16,D3
2012,2012x11x24,Widener,Salisbury St.,28,7,,1,,D3 R16,D3
2012,2012x11x24,Mount Union,Johns Hopkins,55,13,,1,,D3 R16,D3
2012,2012x12x01,UW Oshkosh,Linfield,31,24,OT,2,,D3 QF,D3
2012,2012x12x01,St. Thomas,Hobart,47,7,,1,,D3 QF,D3
2012,2012x12x01,Mary Hardin-Baylor,Wesley,32,20,,1,,D3 QF,D3
2012,2012x12x01,Mount Union,Widener,72,17,,1,,D3 QF,D3
2012,2012x12x08,St. Thomas,UW Oshkosh,28,14,,1,,D3 Semi,D3
2012,2012x12x08,Mount Union,Mary Hardin-Baylor,48,35,,1,,D3 Semi,D3
2012,2012x12x14,Mount Union,St. Thomas,28,10,,3,Salem VA,D3 Champ,D3
2012,2012x11x24,South Dakota St.,Eastern Ill.,58,10,,1,,FCS R20,FCS
2012,2012x11x24,Coastal Carolina,Bethune Cookman,24,14,,2,,FCS R20,FCS
2012,2012x11x24,Stony Brook,Villanova,20,10,,1,,FCS R20,FCS
2012,2012x11x24,Wagner,Colgate,31,20,,1,,FCS R20,FCS
2012,2012x12x01,North Dakota St.,South Dakota St.,28,3,,1,,FCS R16,FCS
2012,2012x12x01,Wofford,New Hampshire,23,7,,1,,FCS R16,FCS
2012,2012x12x01,Ga. Southern,Central Ark.,24,16,,1,,FCS R16,FCS
2012,2012x12x01,Old Dominion,Coastal Carolina,63,35,,1,,FCS R16,FCS
2012,2012x12x01,Montana St.,Stony Brook,16,10,,1,,FCS R16,FCS
2012,2012x12x01,Sam Houston,Cal Poly,18,16,,1,,FCS R16,FCS
2012,2012x12x01,Illinois St.,Appalachian St.,38,37,OT,2,,FCS R16,FCS
2012,2012x12x01,Eastern Wash.,Wagner,29,19,,1,,FCS R16,FCS
2012,2012x12x08,North Dakota St.,Wofford,14,7,,1,,FCS QF,FCS
2012,2012x12x08,Ga. Southern,Old Dominion,49,35,,2,,FCS QF,FCS
2012,2012x12x08,Sam Houston,Montana St.,34,16,,2,,FCS QF,FCS
2012,2012x12x08,Eastern Wash.,Illinois St.,51,35,,1,,FCS QF,FCS
2012,2012x12x15,North Dakota St.,Ga. Southern,23,20,,1,,FCS Semi,FCS
2012,2012x12x15,Sam Houston,Eastern Wash.,45,42,,2,,FCS Semi,FCS
2012,2013x01x05,North Dakota St.,Sam Houston,39,13,,3,Frisco,FCS Champ,FCS
2013,2013x11x23,Winston Salem,Slippery Rock,27,20,,1,,D2 R24,D2
2013,2013x11x23,West Chester,American Intl.,38,7,,1,,D2 R24,D2
2013,2013x11x23,Carson-Newman,Newberry,37,27,,1,,D2 R24,D2
2013,2013x11x23,North Alabama,Tuskegee,30,27,,1,,D2 R24,D2
2013,2013x11x23,Minn. Duluth,Emporia St.,55,13,,1,,D2 R24,D2
2013,2013x11x23,St. Cloud St.,Henderson St.,40,35,,2,,D2 R24,D2
2013,2013x11x23,Grand Valley St.,Saginaw Valley St.,40,7,,1,,D2 R24,D2
2013,2013x11x23,West Texas A&M,Indianapolis,27,14,,2,,D2 R24,D2
2013,2013x11x30,Shepherd,Winston Salem,7,0,,1,,D2 R16,D2
2013,2013x11x30,West Chester,Bloomsburg,40,38,,2,,D2 R16,D2
2013,2013x11x30,Lenoir-Rhyne,Carson-Newman,27,20,,1,,D2 R16,D2
2013,2013x11x30,North Alabama,NC Pembroke,37,13,,2,,D2 R16,D2
2013,2013x11x30,NW Missouri St.,Minn. Duluth,45,21,,1,,D2 R16,D2
2013,2013x11x30,St. Cloud St.,Minnesota St.,54,48,,2,,D2 R16,D2
2013,2013x11x30,Grand Valley St.,CSU Pueblo,34,30,,2,,D2 R16,D2
2013,2013x11x30,West Texas A&M,Ohio Dominican,34,27,,2,,D2 R16,D2
2013,2013x12x07,West Chester,Shepherd,28,7,,2,,D2 QF,D2
2013,2013x12x07,Lenoir-Rhyne,North Alabama,42,39,,1,,D2 QF,D2
2013,2013x12x07,NW Missouri St.,St. Cloud St.,59,21,,1,,D2 QF,D2
2013,2013x12x07,Grand Valley St.,West Texas A&M,35,28,,1,,D2 QF,D2
2013,2013x12x14,Lenoir-Rhyne,West Chester,42,14,,1,,D2 Semi,D2
2013,2013x12x14,NW Missouri St.,Grand Valley St.,27,13,,1,,D2 Semi,D2
2013,2013x12x21,NW Missouri St.,Lenoir-Rhyne,43,28,,3,Florence AL,D2 Champ,D2
2013,2013x11x23,Mount Union,Wash. & Jeff.,34,20,,1,,D3 R32,D3
2013,2013x11x23,Wittenberg,Lebanon Valley,58,17,,1,,D3 R32,D3
2013,2013x11x23,Ithaca,Framingham St.,20,17,,1,,D3 R32,D3
2013,2013x11x23,Wesley,Johns Hopkins,29,24,,2,,D3 R32,D3
2013,2013x11x23,North Central,Albion,63,7,,1,,D3 R32,D3
2013,2013x11x23,UW Platteville,Concordia (WI),54,20,,1,,D3 R32,D3
2013,2013x11x23,Wartburg,Ill. Wesleyan,41,7,,2,,D3 R32,D3
2013,2013x11x23,Bethel (MN),St. Scholastica,70,13,,1,,D3 R32,D3
2013,2013x11x23,UW Whitewater,St. Norbert,31,7,,1,,D3 R32,D3
2013,2013x11x23,Franklin,Washington (MO),17,10,,1,,D3 R32,D3
2013,2013x11x23,Hampden-Sydney,Maryville (TN),42,34,,1,,D3 R32,D3
2013,2013x11x23,Linfield,Pacific Lutheran,42,21,,1,,D3 R32,D3
2013,2013x11x23,Hobart,Gallaudet,34,7,,1,,D3 R32,D3
2013,2013x11x23,St. John Fisher,John Carroll,25,16,,2,,D3 R32,D3
2013,2013x11x23,Rowan,Endicott,24,0,,1,,D3 R32,D3
2013,2013x11x23,Mary Hardin-Baylor,Redlands,35,7,,1,,D3 R32,D3
2013,2013x11x30,Mount Union,Wittenberg,56,21,,1,,D3 R16,D3
2013,2013x11x30,Wesley,Ithaca,23,15,,1,,D3 R16,D3
2013,2013x11x30,North Central,UW Platteville,52,24,,1,,D3 R16,D3
2013,2013x11x30,Bethel (MN),Wartburg,34,27,,1,,D3 R16,D3
2013,2013x11x30,UW Whitewater,Franklin,33,3,,1,,D3 R16,D3
2013,2013x11x30,Linfield,Hampden-Sydney,31,21,,1,,D3 R16,D3
2013,2013x11x30,St. John Fisher,Hobart,27,6,,2,,D3 R16,D3
2013,2013x11x30,Mary Hardin-Baylor,Rowan,59,8,,1,,D3 R16,D3
2013,2013x12x07,Mount Union,Wesley,62,59,,1,,D3 QF,D3
2013,2013x12x07,North Central,Bethel (MN),41,17,,2,,D3 QF,D3
2013,2013x12x07,UW Whitewater,Linfield,28,17,,1,,D3 QF,D3
2013,2013x12x07,Mary Hardin-Baylor,St. John Fisher,45,23,,1,,D3 QF,D3
2013,2013x12x14,Mount Union,North Central,41,40,,1,,D3 Semi,D3
2013,2013x12x14,UW Whitewater,Mary Hardin-Baylor,16,15,,2,,D3 Semi,D3
2013,2013x12x20,UW Whitewater,Mount Union,52,14,,3,Salem VA,D3 Champ,D3
2013,2013x11x30,Furman,SC State,30,20,,2,,FCS R24,FCS
2013,2013x11x30,Coastal Carolina,Bethune Cookman,48,24,,1,,FCS R24,FCS
2013,2013x11x30,New Hampshire,Lafayette,45,7,,1,,FCS R24,FCS
2013,2013x11x30,Sam Houston,Southern Utah,51,20,,1,,FCS R24,FCS
2013,2013x11x30,South Dakota St.,Northern Ariz.,26,7,,2,,FCS R24,FCS
2013,2013x11x30,Jacksonville St.,Samford,55,14,,1,,FCS R24,FCS
2013,2013x11x30,Fordham,Sacred Heart,37,27,,1,,FCS R24,FCS
2013,2013x11x30,Tennessee St.,Butler,31,0,,2,,FCS R24,FCS
2013,2013x12x07,North Dakota St.,Furman,38,7,,1,,FCS R16,FCS
2013,2013x12x07,Coastal Carolina,Montana,42,35,,2,,FCS R16,FCS
2013,2013x12x07,New Hampshire,Maine,41,27,,2,,FCS R16,FCS
2013,2013x12x07,SE Louisiana,Sam Houston,30,29,,1,,FCS R16,FCS
2013,2013x12x07,Eastern Wash.,South Dakota St.,41,17,,1,,FCS R16,FCS
2013,2013x12x07,Jacksonville St.,McNeese,31,10,,2,,FCS R16,FCS
2013,2013x12x07,Towson,Fordham,48,28,,1,,FCS R16,FCS
2013,2013x12x07,Eastern Ill.,Tennessee St.,51,10,,1,,FCS R16,FCS
2013,2013x12x14,North Dakota St.,Coastal Carolina,48,14,,1,,FCS QF,FCS
2013,2013x12x14,New Hampshire,SE Louisiana,20,17,,2,,FCS QF,FCS
2013,2013x12x14,Eastern Wash.,Jacksonville St.,35,24,,1,,FCS QF,FCS
2013,2013x12x14,Towson,Eastern Ill.,49,39,,2,,FCS QF,FCS
2013,2013x12x21,North Dakota St.,New Hampshire,52,14,,1,,FCS Semi,FCS
2013,2013x12x21,Towson,Eastern Wash.,35,31,,2,,FCS Semi,FCS
2013,2014x01x04,North Dakota St.,Towson,35,7,,3,Frisco,FCS Champ,FCS
2014,2014x11x22,West Chester,Slippery Rock,46,20,,1,,D2 R24,D2
2014,2014x11x22,Virginia St.,CW Post,28,17,,1,,D2 R24,D2
2014,2014x11x22,Minn. Duluth,NW Missouri St.,25,21,,1,,D2 R24,D2
2014,2014x11x22,Pittsburg St.,Harding,59,42,,1,,D2 R24,D2
2014,2014x11x22,Valdosta St.,North Alabama,33,31,,2,,D2 R24,D2
2014,2014x11x22,West Georgia,Tuskegee,20,17,,2,,D2 R24,D2
2014,2014x11x22,Ohio Dominican,Colo. Mines,34,23,,2,,D2 R24,D2
2014,2014x11x22,Angelo St.,Michigan Tech,42,41,,2,,D2 R24,D2
2014,2014x11x29,Concord,West Chester,51,36,,1,,D2 R16,D2
2014,2014x11x29,Bloomsburg,Virginia St.,35,14,,1,,D2 R16,D2
2014,2014x11x29,Minn. Duluth,Ouachita Baptist,48,45,OT,2,,D2 R16,D2
2014,2014x11x29,Minnesota St.,Pittsburg St.,24,21,OT,1,,D2 R16,D2
2014,2014x11x29,Valdosta St.,Lenoir-Rhyne,23,21,,2,,D2 R16,D2
2014,2014x11x29,West Georgia,Delta St.,37,27,,2,,D2 R16,D2
