sport,year,round,event,name1,name2,seed1,team1,score1,seed2,team2,score2,ot,loc
NCAABB,1995,32,WER2,West Regional,Second Round,3,Maryland,82,11,Texas,68,,
NCAABB,1995,32,WER2,West Regional,Second Round,5,Miss State,78,4,Utah,64,,
NCAABB,1995,16,EASF,East Regional,Semifinals,2,Massachusetts,76,6,Tulsa,51,,
NCAABB,1995,16,EASF,East Regional,Semifinals,4,Oklahoma St.,71,1,Wake Forest,66,,
NCAABB,1995,16,MWSF,Midwest Regional,Semifinals,2,Arkansas,96,6,Memphis,91,OT,
NCAABB,1995,16,MWSF,Midwest Regional,Semifinals,4,Virginia,67,1,Kansas,58,,
NCAABB,1995,16,SESF,Southeast Regional,Semifinals,1,Kentucky,97,5,Arizona St.,73,,
NCAABB,1995,16,SESF,Southeast Regional,Semifinals,2,North Carolina,74,6,Georgetown,64,,
NCAABB,1995,16,WESF,West Regional,Semifinals,1,UCLA,86,5,Miss State,67,,
NCAABB,1995,16,WESF,West Regional,Semifinals,2,Connecticut,99,3,Maryland,89,,
NCAABB,1995,8,EAFinal,East Regional,Final,4,Oklahoma St.,68,2,Massachusetts,54,,
NCAABB,1995,8,MWFinal,Midwest Regional,Final,2,Arkansas,68,4,Virginia,61,,
NCAABB,1995,8,SEFinal,Southeast Regional,Final,2,North Carolina,74,1,Kentucky,61,,
NCAABB,1995,8,WEFinal,West Regional,Final,1,UCLA,102,2,Connecticut,96,,
NCAABB,1995,4,NCAASF,Final Four,Semifinals,1,UCLA,74,4,Oklahoma St.,61,,
NCAABB,1995,4,NCAASF,Final Four,Semifinals,2,Arkansas,75,2,North Carolina,68,,
NCAABB,1995,2,NCAAFinal,Final Four,Championship,1,UCLA,89,2,Arkansas,78,,Seattle
NCAABB,1996,64,EAR1,East Regional,First Round,1,Massachusetts,92,16,UCF,70,,
NCAABB,1996,64,EAR1,East Regional,First Round,2,Georgetown,93,15,Miss Valley,56,,
NCAABB,1996,64,EAR1,East Regional,First Round,3,Texas Tech,74,14,Northern Ill.,73,,
NCAABB,1996,64,EAR1,East Regional,First Round,4,Marquette,68,13,Monmouth,44,,
NCAABB,1996,64,EAR1,East Regional,First Round,6,North Carolina,83,11,New Orleans,62,,
NCAABB,1996,64,EAR1,East Regional,First Round,7,New Mexico,69,10,Kansas St.,48,,
NCAABB,1996,64,EAR1,East Regional,First Round,9,Stanford,66,8,Bradley,58,,
NCAABB,1996,64,EAR1,East Regional,First Round,12,Arkansas,86,5,Penn State,80,,
NCAABB,1996,64,MWR1,Midwest Regional,First Round,1,Kentucky,110,16,San Jose St.,72,,
NCAABB,1996,64,MWR1,Midwest Regional,First Round,2,Wake Forest,62,15,UL Monroe,50,,
NCAABB,1996,64,MWR1,Midwest Regional,First Round,3,Villanova,92,14,Portland,58,,
NCAABB,1996,64,MWR1,Midwest Regional,First Round,4,Utah,72,13,Canisius,43,,
NCAABB,1996,64,MWR1,Midwest Regional,First Round,5,Iowa State,74,12,California,64,,
NCAABB,1996,64,MWR1,Midwest Regional,First Round,6,Louisville,82,11,Tulsa,80,OT,
NCAABB,1996,64,MWR1,Midwest Regional,First Round,9,Virginia Tech,61,8,Green Bay,48,,
NCAABB,1996,64,MWR1,Midwest Regional,First Round,10,Texas,80,7,Michigan,76,,
NCAABB,1996,64,SER1,Southeast Regional,First Round,1,Connecticut,68,16,Colgate,59,,
NCAABB,1996,64,SER1,Southeast Regional,First Round,2,Cincinnati,66,15,NC Greensboro,61,,
NCAABB,1996,64,SER1,Southeast Regional,First Round,3,Georgia Tech,90,14,Austin Peay,79,,
NCAABB,1996,64,SER1,Southeast Regional,First Round,5,Miss State,58,12,VCU,51,,
NCAABB,1996,64,SER1,Southeast Regional,First Round,7,Temple,61,10,Oklahoma,43,,
NCAABB,1996,64,SER1,Southeast Regional,First Round,9,Eastern Mich.,75,8,Duke,60,,
NCAABB,1996,64,SER1,Southeast Regional,First Round,11,Boston College,64,6,Indiana,51,,
NCAABB,1996,64,SER1,Southeast Regional,First Round,13,Princeton,43,4,UCLA,41,,
NCAABB,1996,64,WER1,West Regional,First Round,1,Purdue,73,16,Western Caro.,71,,
NCAABB,1996,64,WER1,West Regional,First Round,2,Kansas,92,15,SC State,54,,
NCAABB,1996,64,WER1,West Regional,First Round,3,Arizona,90,14,Valparaiso,51,,
NCAABB,1996,64,WER1,West Regional,First Round,4,Syracuse,88,13,Montana St.,55,,
NCAABB,1996,64,WER1,West Regional,First Round,6,Iowa,81,11,G. Washington,79,,
NCAABB,1996,64,WER1,West Regional,First Round,8,Georgia,81,9,Clemson,74,,
NCAABB,1996,64,WER1,West Regional,First Round,10,Santa Clara,91,7,Maryland,79,,
NCAABB,1996,64,WER1,West Regional,First Round,12,Drexel,75,5,Memphis,63,,
NCAABB,1996,32,EAR2,East Regional,Second Round,1,Massachusetts,79,9,Stanford,74,,
NCAABB,1996,32,EAR2,East Regional,Second Round,2,Georgetown,73,7,New Mexico,62,,
NCAABB,1996,32,EAR2,East Regional,Second Round,3,Texas Tech,92,6,North Carolina,73,,
NCAABB,1996,32,EAR2,East Regional,Second Round,12,Arkansas,65,4,Marquette,56,,
NCAABB,1996,32,MWR2,Midwest Regional,Second Round,1,Kentucky,84,9,Virginia Tech,60,,
NCAABB,1996,32,MWR2,Midwest Regional,Second Round,2,Wake Forest,65,10,Texas,62,,
NCAABB,1996,32,MWR2,Midwest Regional,Second Round,4,Utah,73,5,Iowa State,67,,
